name,wattage,efficiency,price,size,image,modularity,color
Corsair SF1000L,1000,Efficiency Rating80+ Gold,244.99,TypeSFX,//cdna.pcpartpicker.com/static/forever/images/product/69f41efe6700ccf556fc1169e8dae4ce.256p.jpg,ModularFull,ColorBlack
FSP Group FSP450-60GHS(85)-R,450,Efficiency Rating80+ Bronze,245.89,TypeSFX,https://m.media-amazon.com/images/I/41dQal3rAHL.jpg,ModularNo,ColorBlack
EVGA 650 BQ,650,Efficiency Rating80+ Bronze,247.74,TypeATX,https://m.media-amazon.com/images/I/51qTcBIn0hL.jpg,ModularSemi,Color
Cougar GEX X2,1000,Efficiency Rating80+ Gold,247.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/6e93eac4100c5e04cb874cd223308434.256p.jpg,ModularFull,ColorBlack
Gigabyte UD1000GM PG5,1000,Efficiency Rating80+ Gold,249.15,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/c84118960c20f8774ce1496513c2f98a.256p.jpg,ModularFull,ColorBlack
Corsair SF850 (2024),850,Efficiency Rating80+ Platinum,249.99,TypeSFX,//cdna.pcpartpicker.com/static/forever/images/product/016556184725a9604ae50e789f12b12c.256p.jpg,ModularFull,ColorBlack
Corsair RM850e (2023),850,Efficiency Rating80+ Gold,249.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/74e6caafd69bcc53d6e5060a3249248d.256p.jpg,ModularFull,ColorBlack
Corsair RM1000x SHIFT,1000,Efficiency Rating80+ Gold,249.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/38942a1637e7445c59b8a274492115a5.256p.jpg,ModularFull / Side,ColorBlack
ASRock Phantom Gaming PG-1300G,1300,Efficiency Rating80+ Gold,249.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/81ff33640313ce97969d63adec878baf.256p.jpg,ModularFull,ColorBlack
FSP Group Hydro PTM X PRO,850,Efficiency Rating80+ Platinum,249.99,TypeATX,/static/forever/img/no-image.png,ModularFull,ColorBlack
Inter-Tech Argus RGB CM II,750,Efficiency Rating80+ Gold,253.14,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/f42511ab13957f90e939d7284e326d48.256p.jpg,ModularSemi,ColorBlack
Inter-Tech Argus RGB II,600,Efficiency Rating80+ Bronze,254.47,TypeATX,https://m.media-amazon.com/images/I/41e4M64IRTS.jpg,ModularNo,ColorBlack
NZXT C1200 (2024),1200,Efficiency Rating80+ Gold,254.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/c738e40268a79b636c158d4532785b6d.256p.jpg,ModularFull,ColorBlack
Silverstone ST85F-GS-V2,850,Efficiency Rating80+ Gold,254.99,TypeATX,https://m.media-amazon.com/images/I/51ycPIhE-bL.jpg,ModularFull,Color
Thermaltake Toughpower GF A3 - TT Premium Edition,1200,Efficiency Rating80+ Gold,255.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/39fbd9bb89a1cbf13d5e3da8a3a27af5.256p.jpg,ModularFull,ColorBlack
Chieftec ATMOS,750,Efficiency Rating80+ Gold,256.48,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/25b431e9126603cfc7f85735002703a6.256p.jpg,ModularFull,ColorBlack
Silverstone SFX,450,Efficiency Rating80+ Bronze,258.41,TypeSFX,https://images-eu.ssl-images-amazon.com/images/I/51YKrs7LtqL.jpg,ModularNo,ColorBlack
Montech TITAN PLA,850,Efficiency Rating80+ Platinum,259.98,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/82e5b78b3a3350f267109a937680844e.256p.jpg,ModularFull,ColorWhite
Asus ROG LOKI,750,Efficiency Rating80+ Platinum,259.99,TypeSFX,//cdna.pcpartpicker.com/static/forever/images/product/0e997c3c3c311e827733420a531bf5c9.256p.jpg,ModularFull,ColorBlack / Silver
Super Flower LEADEX VII Platinum PRO,1200,Efficiency Rating80+ Platinum,259.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/83ec4c529f96ebd53780ae5a13edc876.256p.jpg,ModularFull,ColorWhite
Asus ROG Strix Aura Edition,850,Efficiency Rating80+ Gold,259.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/d34715edb6ef709640c66db11ee0f0d1.256p.jpg,ModularFull,ColorBlack
Corsair CX550F,550,Efficiency Rating80+ Bronze,259.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/fd4dd3c80698fbc02fbe7990598aec90.256p.jpg,ModularFull,ColorBlack
Cooler Master V850 Gold i,850,Efficiency Rating80+ Gold,259.99,TypeATX,https://m.media-amazon.com/images/I/51dAianAwDL.jpg,ModularFull,ColorBlack / Gold
Asus ROG Strix Aura Edition,1000,Efficiency Rating80+ Gold,261.8,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/dcb88c69748aad75d09d3be2529a8080.256p.jpg,ModularFull,ColorBlack
Lian Li EDGE,1300,Efficiency Rating80+ Platinum,263.12,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/29833e8353ae67f63a7df509ec4a6367.256p.jpg,ModularFull,ColorBlack
1STPLAYER NGDP ATX 3.0,1300,Efficiency Rating80+ Platinum,264.86,TypeATX,https://m.media-amazon.com/images/I/41+Z5fFvOoL.jpg,ModularFull,ColorBlack
Deepcool PX1000P,1000,Efficiency Rating80+ Platinum,264.88,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/6e24c6b0dfc0c8afd87d5677d951b413.256p.jpg,ModularFull,ColorBlack / Silver
be quiet! Straight Power 12,750,Efficiency Rating80+ Platinum,264.98,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/64bedfcd6c904c42841806e4673c611f.256p.jpg,ModularFull,ColorBlack
SeaSonic Focus GX V4 ATX 3 (2024),1000,Efficiency Rating80+ Gold,267.04,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/4bbfa7511d6ffe257ac933789dfdadf7.256p.jpg,ModularFull,ColorBlack
Fractal Design Ion Gold,850,Efficiency Rating80+ Gold,268.35,TypeATX,https://m.media-amazon.com/images/I/41KBXm1EYsS.jpg,ModularFull,ColorBlack
Cooler Master XG750 Plus,750,Efficiency Rating80+ Platinum,269.0,TypeATX,https://m.media-amazon.com/images/I/51HR6hLHoVL.jpg,ModularFull,ColorBlack
Corsair RM1000e (2022),1000,Efficiency Rating80+ Gold,269.19,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/46c4b5b61ad3f8ed2688995b85520a68.256p.jpg,ModularFull,ColorBlack
MSI MAG A1250GL PCIE5,1250,Efficiency Rating80+ Gold,269.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/4892c7a4ba21f50538ec1ae0e18a72ec.256p.jpg,ModularFull,ColorBlack
Super Flower LEADEX VII Platinum PRO,1200,Efficiency Rating80+ Platinum,269.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/8c2829b9a24bc87b620fa4be377b8d69.256p.jpg,ModularFull,ColorBlack
MSI MAG A1000GLS PCIE5,1000,Efficiency Rating80+ Gold,269.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/009f529c253efdcffa7588b07a793742.256p.jpg,ModularFull,ColorBlack
PC Power & Cooling Silencer MK III,750,Efficiency Rating80+ Gold,270.26,TypeATX,https://m.media-amazon.com/images/I/513a3efEvkL.jpg,ModularSemi,Color
SeaSonic VERTEX GX-1000,1000,Efficiency Rating80+ Gold,270.4,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/ed3235057508a33ff8605786994551f9.256p.jpg,ModularFull,ColorBlack / Silver
Fractal Design Ion Gold,750,Efficiency Rating80+ Gold,270.73,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/d5772fcef3f2fa90bbaef1a5b49107a0.256p.jpg,ModularFull,ColorBlack
Asus Prime,750,Efficiency Rating80+ Bronze,270.73,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/ee8811f020d54929e60e22dfaff5219b.256p.jpg,ModularNo,ColorBlack
